time,open,high,low,close,tick_count
2025-05-15 09:00:00,31.924,31.980,31.877,31.942,87
2025-05-15 09:15:00,31.942,32.091,31.942,32.034,88
2025-05-15 09:30:00,32.029,32.038,31.980,32.026,73
2025-05-15 09:45:00,32.026,32.026,31.952,31.971,109
2025-05-15 10:00:00,31.977,32.105,31.956,32.097,92
2025-05-15 10:15:00,32.085,32.102,32.030,32.037,102
2025-05-15 10:30:00,32.033,32.070,32.033,32.059,87
2025-05-15 10:45:00,32.078,32.092,32.026,32.092,104
2025-05-15 11:00:00,32.081,32.123,32.081,32.114,87
2025-05-15 11:15:00,32.114,32.123,32.063,32.088,101
2025-05-15 11:30:00,32.090,32.162,32.090,32.138,101
2025-05-15 11:45:00,32.150,32.213,32.150,32.179,109
2025-05-15 12:00:00,32.171,32.182,32.107,32.121,75
2025-05-15 12:15:00,32.124,32.174,32.077,32.164,74
2025-05-15 12:30:00,32.163,32.231,32.149,32.188,39
2025-05-15 12:45:00,32.200,32.200,32.128,32.174,43
2025-05-15 13:00:00,32.225,32.229,32.144,32.165,30
2025-05-15 13:15:00,32.156,32.224,32.156,32.212,38
2025-05-15 13:30:00,32.166,32.217,32.149,32.174,20
2025-05-15 13:45:00,32.151,32.249,32.136,32.240,22
2025-05-15 14:00:00,32.235,32.281,32.165,32.226,30
2025-05-15 14:15:00,32.229,32.324,32.219,32.274,36
2025-05-15 14:30:00,32.266,32.312,32.242,32.293,48
2025-05-15 14:45:00,32.278,32.361,32.277,32.354,79
2025-05-15 15:00:00,32.350,32.415,32.349,32.396,56
2025-05-15 15:15:00,32.418,32.449,32.393,32.449,54
2025-05-15 15:30:00,32.461,32.468,32.401,32.419,92
2025-05-15 15:45:00,32.427,32.531,32.427,32.531,65
2025-05-15 16:00:00,32.536,32.554,32.488,32.506,87
2025-05-15 16:15:00,32.501,32.532,32.497,32.498,95
2025-05-15 16:30:00,32.498,32.537,32.483,32.530,91
2025-05-15 16:45:00,32.530,32.541,32.507,32.540,67
2025-05-15 17:00:00,32.540,32.559,32.522,32.528,58
2025-05-15 17:15:00,32.528,32.542,32.512,32.532,86
2025-05-15 17:30:00,32.531,32.539,32.472,32.481,95
2025-05-15 17:45:00,32.473,32.504,32.467,32.483,112
2025-05-15 18:00:00,32.487,32.516,32.476,32.506,100
2025-05-15 18:15:00,32.510,32.521,32.461,32.478,116
2025-05-15 18:30:00,32.475,32.501,32.460,32.490,114
2025-05-15 18:45:00,32.494,32.494,32.449,32.461,107
2025-05-15 19:00:00,32.454,32.478,32.452,32.459,101
2025-05-15 19:15:00,32.462,32.518,32.458,32.513,114
2025-05-15 19:30:00,32.510,32.560,32.509,32.560,100
2025-05-15 19:45:00,32.560,32.583,32.536,32.568,102
2025-05-15 20:00:00,32.576,32.636,32.576,32.610,54
2025-05-15 20:15:00,32.605,32.614,32.595,32.614,58
2025-05-15 20:30:00,32.607,32.635,32.602,32.624,71
2025-05-15 20:45:00,32.622,32.657,32.622,32.646,56
2025-05-15 22:00:00,32.642,32.664,32.630,32.636,84
2025-05-15 22:15:00,32.629,32.657,32.622,32.622,14
2025-05-16 05:45:00,32.622,32.622,32.426,32.443,19
2025-05-16 06:00:00,32.454,32.476,32.443,32.471,63
2025-05-16 06:15:00,32.466,32.467,32.394,32.394,63
2025-05-16 06:30:00,32.394,32.417,32.370,32.395,85
2025-05-16 06:45:00,32.377,32.384,32.357,32.378,39
2025-05-16 07:00:00,32.391,32.393,32.326,32.350,62
2025-05-16 07:15:00,32.344,32.344,32.307,32.341,58
2025-05-16 07:30:00,32.338,32.379,32.309,32.362,84
2025-05-16 07:45:00,32.367,32.367,32.293,32.315,86
2025-05-16 08:00:00,32.291,32.309,32.229,32.232,95
2025-05-16 08:15:00,32.236,32.265,32.209,32.265,95
2025-05-16 08:30:00,32.259,32.287,32.239,32.274,126
2025-05-16 08:45:00,32.266,32.281,32.235,32.257,108
2025-05-16 09:00:00,32.265,32.289,32.222,32.289,105
2025-05-16 09:15:00,32.279,32.315,32.272,32.308,102
2025-05-16 09:30:00,32.297,32.308,32.255,32.289,106
2025-05-16 09:45:00,32.289,32.321,32.283,32.310,90
2025-05-16 10:00:00,32.306,32.309,32.199,32.200,106
2025-05-16 10:15:00,32.239,32.243,32.189,32.217,76
2025-05-16 10:30:00,32.241,32.247,32.194,32.210,90
2025-05-16 10:45:00,32.210,32.212,32.119,32.137,45
2025-05-16 11:00:00,32.125,32.125,32.047,32.047,55
2025-05-16 11:15:00,32.047,32.090,32.011,32.027,85
2025-05-16 11:30:00,32.017,32.110,32.017,32.074,82
2025-05-16 11:45:00,32.053,32.070,31.957,31.983,51
2025-05-16 12:00:00,31.955,31.989,31.922,31.938,39
2025-05-16 12:15:00,31.945,32.051,31.945,31.985,42
2025-05-16 12:30:00,31.949,32.022,31.867,31.950,36
2025-05-16 12:45:00,31.962,31.999,31.930,31.964,76
2025-05-16 13:00:00,32.035,32.096,32.035,32.077,13
2025-05-16 13:15:00,32.101,32.131,32.078,32.130,23
2025-05-16 13:30:00,32.135,32.281,32.115,32.262,24
2025-05-16 13:45:00,32.229,32.292,32.229,32.254,21
2025-05-16 14:00:00,32.265,32.314,32.217,32.243,23
2025-05-16 14:15:00,32.231,32.249,32.153,32.177,34
2025-05-16 14:30:00,32.193,32.193,32.032,32.032,27
2025-05-16 14:45:00,32.038,32.084,32.002,32.027,51
2025-05-16 15:00:00,32.045,32.068,32.013,32.029,76
2025-05-16 15:15:00,32.037,32.054,32.001,32.054,83
2025-05-16 15:30:00,32.054,32.118,32.046,32.100,89
2025-05-16 15:45:00,32.097,32.208,32.069,32.199,77
2025-05-16 16:00:00,32.192,32.220,32.168,32.210,91
2025-05-16 16:15:00,32.221,32.229,32.190,32.215,108
2025-05-16 16:30:00,32.220,32.228,32.218,32.228,5
2025-05-17 21:15:00,32.222,32.222,32.222,32.222,1
2025-05-18 22:00:00,32.355,32.355,32.276,32.337,63
2025-05-18 22:15:00,32.352,32.437,32.326,32.398,86
2025-05-18 22:30:00,32.438,32.438,32.375,32.422,90
2025-05-18 22:45:00,32.428,32.482,32.419,32.456,89
2025-05-18 23:00:00,32.458,32.488,32.434,32.488,71
2025-05-18 23:15:00,32.488,32.520,32.462,32.495,56
2025-05-18 23:30:00,32.495,32.505,32.438,32.474,71
2025-05-18 23:45:00,32.468,32.486,32.404,32.486,58
2025-05-19 00:00:00,32.475,32.542,32.446,32.530,66
2025-05-19 00:15:00,32.533,32.533,32.511,32.531,42
2025-05-19 00:30:00,32.523,32.538,32.511,32.515,26
2025-05-19 00:45:00,32.539,32.547,32.503,32.535,32
2025-05-19 01:00:00,32.551,32.551,32.423,32.433,44
2025-05-19 01:15:00,32.433,32.438,32.401,32.401,70
2025-05-19 01:30:00,32.391,32.467,32.380,32.465,76
2025-05-19 01:45:00,32.440,32.440,32.402,32.410,54
2025-05-19 02:00:00,32.410,32.450,32.406,32.421,84
2025-05-19 02:15:00,32.426,32.449,32.414,32.414,83
2025-05-19 02:30:00,32.393,32.393,32.350,32.384,58
2025-05-19 02:45:00,32.384,32.420,32.371,32.420,83
2025-05-19 03:00:00,32.420,32.443,32.398,32.436,44
2025-05-19 03:15:00,32.436,32.447,32.419,32.419,45
2025-05-19 03:30:00,32.413,32.413,32.347,32.347,65
2025-05-19 03:45:00,32.334,32.334,32.273,32.283,76
2025-05-19 04:00:00,32.283,32.309,32.267,32.309,57
2025-05-19 04:15:00,32.316,32.342,32.316,32.336,37
2025-05-19 04:30:00,32.342,32.352,32.331,32.331,43
2025-05-19 04:45:00,32.343,32.364,32.338,32.358,37
2025-05-19 05:00:00,32.358,32.425,32.352,32.382,63
2025-05-19 05:15:00,32.395,32.423,32.390,32.423,50
2025-05-19 05:30:00,32.423,32.423,32.356,32.385,81
2025-05-19 05:45:00,32.385,32.401,32.355,32.401,50
2025-05-19 06:00:00,32.377,32.460,32.377,32.453,83
2025-05-19 06:15:00,32.471,32.478,32.446,32.453,75
2025-05-19 06:30:00,32.450,32.480,32.425,32.437,68
2025-05-19 06:45:00,32.437,32.471,32.424,32.424,76
2025-05-19 07:00:00,32.435,32.509,32.435,32.490,96
2025-05-19 07:15:00,32.485,32.517,32.470,32.506,99
